Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
8,Abdou Harroui,NED,"MF,FW",Hellas Verona,it  Serie A,27-057,1998.0,10.0,5.0,463.0,5.1,,,,,,,,,,,0.0,,,,,46.0,18.4,65.0,1.0,5.0,27.0,1.0,1.2,8.0,12.0,-4.0,-0.78,0.36,6.7,10.7,-4.1,-0.79,-0.25,1.0,0.0,0.0,10.0,3.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,22.0,8.0,7.0,53.3,9.0,6.0,6.0,3.0,0.0,4.0,4.0,100.0,0.0,5.0,0.0,5.0,2.0,11.0,5.0,0.0,160.0,202.0,79.2,2324.0,580.0,96.0,106.0,90.6,54.0,69.0,78.3,6.0,15.0,40.0,2.0,0.4,0.6,1.6,4.0,16.0,3.0,2.0,21.0,1.0,3.0,1.0,0.0,2.2,2.2,2.6,23.0,34.0,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,15.0,2.92,13.0,0.0,2.0,0.0,0.0,0.0,3.0,0.58,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,197.0,4.0,1.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,160.0,1.0,6.0,15.0,4.0,26.7,2.92,0.78,0.07,0.25,17.7,1.0,0.15,-1.2,-1.2,283.0,5.0,41.0,144.0,105.0,17.0,283.0,20.0,6.0,30.0,13.0,65.0,175.0,1241.0,631.0,20.0,4.0,12.0,10.0,203.0,416386,Central Midfield,1998-01-13,27,"['Morocco', 'Netherlands']",182.0,both,2024-07-09,Frosinone Calcio,2028-06-30,2500000.0,"Cruciate ligament tear - Return expected on Jun 1, 2025"
11,Abdoulaye Doucouré,MLI,MF,Everton,eng  Premier League,32-069,1993.0,24.0,23.0,1913.0,21.3,,,,,,,,,,,0.0,,,,,80.0,75.9,83.0,12.0,1.0,8.0,1.0,1.21,23.0,26.0,-3.0,-0.14,0.01,21.7,26.4,-4.7,-0.22,-0.3,4.0,1.0,1.0,39.0,4.0,8.0,18.0,7.0,20.0,0.0,0.0,0.0,112.0,25.0,31.0,44.6,34.0,20.0,15.0,14.0,5.0,7.0,23.0,30.4,16.0,23.0,5.0,18.0,7.0,41.0,16.0,1.0,563.0,701.0,80.3,8617.0,1768.0,296.0,346.0,85.5,215.0,258.0,83.3,33.0,45.0,73.3,1.0,1.5,0.9,-0.5,23.0,38.0,12.0,0.0,65.0,2.0,3.0,2.0,0.0,3.0,3.0,4.5,32.0,67.0,0.09,0.05,0.14,0.09,0.14,0.14,0.07,0.21,0.14,0.21,45.0,2.12,40.0,0.0,2.0,2.0,0.0,1.0,2.0,0.09,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,685.0,12.0,3.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,563.0,4.0,21.0,21.0,5.0,23.8,0.99,0.24,0.1,0.4,14.0,0.0,0.14,-1.0,-1.0,884.0,26.0,183.0,411.0,303.0,39.0,884.0,30.0,16.0,53.3,14.0,46.7,466.0,2369.0,1123.0,19.0,3.0,26.0,27.0,569.0,127187,Central Midfield,1993-01-01,32,"['Mali', 'France']",183.0,right,2020-09-08,Watford FC,2025-06-30,8000000.0,
34,Adrien Rabiot,FRA,MF,Marseille,fr  Ligue 1,29-342,1995.0,20.0,18.0,1675.0,18.6,,,,,,,,,,,0.0,,,,,84.0,74.4,90.0,18.0,2.0,28.0,0.0,1.8,36.0,22.0,14.0,0.75,-0.5,38.6,23.8,14.8,0.79,1.01,3.0,0.0,0.0,40.0,21.0,4.0,26.0,17.0,23.0,0.0,1.0,0.0,89.0,25.0,17.0,59.5,39.0,23.0,14.0,16.0,9.0,19.0,28.0,67.9,9.0,15.0,1.0,14.0,17.0,56.0,25.0,0.0,952.0,1107.0,86.0,13248.0,2716.0,555.0,601.0,92.3,331.0,381.0,86.9,25.0,44.0,56.8,1.0,1.5,1.5,-0.5,16.0,103.0,13.0,2.0,110.0,5.0,6.0,5.0,0.0,4.1,4.1,5.5,59.0,111.0,0.27,0.05,0.32,0.27,0.32,0.22,0.08,0.3,0.22,0.3,38.0,2.04,32.0,0.0,1.0,3.0,2.0,0.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1107.0,1083.0,22.0,14.0,5.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,952.0,2.0,25.0,30.0,13.0,43.3,1.61,0.7,0.17,0.38,14.0,0.0,0.14,0.9,0.9,1299.0,24.0,166.0,715.0,431.0,58.0,1299.0,34.0,16.0,47.1,17.0,50.0,748.0,4252.0,2080.0,44.0,9.0,27.0,24.0,1028.0,182913,Central Midfield,1995-04-03,29,['France'],191.0,left,2024-09-17,Without Club,2026-06-30,25000000.0,
49,Albert Grønbaek,DEN,"MF,FW",Southampton,eng  Premier League,23-292,2001.0,3.0,2.0,135.0,1.5,,,,,,,,,,,0.0,,,,,45.0,5.4,66.0,0.0,1.0,3.0,2.0,1.0,2.0,3.0,-1.0,-0.67,1.11,0.8,4.8,-4.1,-2.71,-1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0,4.0,1.0,1.0,1.0,2.0,3.0,10.0,30.0,7.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,13.0,17.0,76.5,135.0,43.0,9.0,11.0,81.8,2.0,3.0,66.7,0.0,0.0,38.2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,2.0,1.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,1.33,0.0,0.0,0.22,22.4,0.0,0.06,-0.1,-0.1,35.0,2.0,9.0,13.0,13.0,2.0,35.0,4.0,0.0,0.0,4.0,100.0,15.0,62.0,11.0,0.0,1.0,4.0,3.0,18.0,503866,Central Midfield,2001-05-23,23,['Denmark'],181.0,right,2025-01-21,Stade Rennais FC,2025-06-30,15000000.0,
50,Albert Sambi Lokonga,BEL,MF,Sevilla,es  La Liga,25-140,1999.0,16.0,12.0,1138.0,12.6,,,,,,,,,,,0.0,,,,,71.0,46.8,86.0,8.0,4.0,27.0,1.0,1.44,11.0,15.0,-4.0,-0.32,-0.32,13.4,14.5,-1.1,-0.09,0.34,4.0,0.0,0.0,17.0,15.0,0.0,2.0,7.0,13.0,0.0,0.0,0.0,60.0,24.0,10.0,70.6,18.0,13.0,9.0,8.0,1.0,8.0,11.0,72.7,3.0,8.0,1.0,7.0,7.0,25.0,18.0,3.0,653.0,729.0,89.6,10763.0,3190.0,335.0,355.0,94.4,255.0,279.0,91.4,49.0,75.0,65.3,2.0,0.5,0.8,1.5,11.0,65.0,6.0,0.0,69.0,0.0,2.0,0.0,0.0,0.4,0.4,0.9,20.0,15.0,0.0,0.16,0.16,0.0,0.16,0.03,0.04,0.07,0.03,0.07,22.0,1.74,21.0,0.0,0.0,1.0,0.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,729.0,705.0,23.0,18.0,4.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,653.0,1.0,0.0,8.0,2.0,25.0,0.63,0.16,0.0,0.0,18.8,0.0,0.06,-0.4,-0.4,818.0,33.0,204.0,494.0,122.0,13.0,818.0,7.0,3.0,42.9,2.0,28.6,432.0,2399.0,1336.0,12.0,1.0,13.0,10.0,589.0,381967,Central Midfield,1999-10-22,25,"['Belgium', 'DR Congo']",183.0,right,2024-07-15,Arsenal FC,2025-06-30,12000000.0,Hamstring injury - Return unknown
57,Aleix García,ESP,MF,Leverkusen,de  Bundesliga,27-256,1997.0,20.0,11.0,999.0,11.1,,,,,,,,,,,0.0,,,,,50.0,44.4,81.0,7.0,9.0,12.0,5.0,2.2,23.0,20.0,3.0,0.27,-1.31,20.9,14.0,7.0,0.63,-0.43,2.0,0.0,0.0,4.0,6.0,1.0,72.0,6.0,4.0,0.0,0.0,0.0,48.0,3.0,5.0,37.5,8.0,4.0,2.0,4.0,2.0,4.0,9.0,44.4,5.0,8.0,1.0,7.0,6.0,14.0,17.0,1.0,880.0,1002.0,87.8,15210.0,4279.0,461.0,490.0,94.1,316.0,349.0,90.5,88.0,129.0,68.2,3.0,4.3,3.2,-1.3,26.0,96.0,8.0,3.0,83.0,2.0,5.0,2.0,0.0,0.8,0.8,5.1,17.0,32.0,0.18,0.27,0.45,0.18,0.45,0.07,0.39,0.46,0.07,0.46,47.0,4.24,28.0,14.0,0.0,4.0,0.0,1.0,7.0,0.63,3.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1002.0,911.0,90.0,33.0,2.0,24.0,72.0,5.0,52.0,27.0,15.0,0.0,880.0,1.0,12.0,11.0,2.0,18.2,0.99,0.18,0.18,1.0,21.6,2.0,0.07,1.2,1.2,1078.0,34.0,160.0,592.0,331.0,11.0,1078.0,4.0,3.0,75.0,1.0,25.0,534.0,2421.0,1098.0,26.0,1.0,7.0,2.0,843.0,261504,Central Midfield,1997-06-28,27,['Spain'],173.0,right,2024-07-01,Girona FC,2029-06-30,20000000.0,
68,Alessandro Bianco,ITA,MF,Monza,it  Serie A,22-161,2002.0,24.0,19.0,1788.0,19.9,,,,,,,,,,,0.0,,,,,75.0,71.0,86.0,13.0,5.0,30.0,1.0,0.5,15.0,40.0,-25.0,-1.26,-1.26,16.2,31.1,-14.8,-0.75,-0.47,6.0,0.0,0.0,33.0,37.0,3.0,16.0,11.0,22.0,0.0,1.0,0.0,92.0,9.0,18.0,33.3,37.0,22.0,13.0,16.0,8.0,21.0,30.0,70.0,9.0,29.0,12.0,17.0,11.0,48.0,37.0,4.0,876.0,1025.0,85.5,16991.0,4355.0,285.0,327.0,87.2,470.0,506.0,92.9,103.0,145.0,71.0,0.0,0.6,1.0,-0.6,14.0,91.0,14.0,3.0,93.0,1.0,1.0,1.0,0.0,1.1,1.1,1.8,29.0,17.0,0.05,0.0,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,26.0,1.31,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,974.0,48.0,41.0,3.0,5.0,16.0,3.0,0.0,0.0,0.0,0.0,876.0,3.0,18.0,19.0,4.0,21.1,0.96,0.2,0.05,0.25,22.3,0.0,0.06,-0.1,-0.1,1217.0,63.0,337.0,721.0,175.0,13.0,1217.0,28.0,14.0,50.0,11.0,39.3,798.0,4161.0,1937.0,28.0,4.0,30.0,17.0,863.0,602124,Central Midfield,2002-10-01,22,['Italy'],173.0,right,2024-08-30,ACF Fiorentina,2025-06-30,5000000.0,
71,Alessandro Deiola,ITA,MF,Cagliari,it  Serie A,29-222,1995.0,21.0,12.0,1048.0,11.6,,,,,,,,,,,0.0,,,,,50.0,41.6,72.0,4.0,9.0,21.0,7.0,0.81,11.0,15.0,-4.0,-0.34,0.33,14.6,18.6,-4.0,-0.34,0.09,4.0,0.0,0.0,23.0,10.0,0.0,13.0,10.0,15.0,0.0,0.0,0.0,47.0,24.0,23.0,51.1,23.0,15.0,7.0,14.0,2.0,8.0,24.0,33.3,16.0,14.0,7.0,7.0,10.0,33.0,31.0,0.0,283.0,387.0,73.1,4898.0,1269.0,132.0,162.0,81.5,120.0,154.0,77.9,25.0,39.0,64.1,1.0,0.6,0.6,0.4,3.0,33.0,5.0,0.0,31.0,0.0,1.0,0.0,0.0,0.7,0.7,1.2,7.0,27.0,0.0,0.09,0.09,0.0,0.09,0.06,0.05,0.11,0.06,0.11,21.0,1.8,14.0,1.0,0.0,3.0,2.0,1.0,3.0,0.26,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,387.0,376.0,9.0,4.0,1.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,283.0,2.0,17.0,12.0,2.0,16.7,1.03,0.17,0.0,0.0,19.7,0.0,0.06,-0.7,-0.7,506.0,36.0,136.0,256.0,118.0,15.0,506.0,3.0,3.0,100.0,0.0,0.0,237.0,869.0,366.0,4.0,1.0,11.0,9.0,293.0,235931,Central Midfield,1995-08-01,29,['Italy'],190.0,right,2014-07-01,Cagliari Primavera,2025-06-30,1600000.0,
82,Alex Král,CZE,MF,Espanyol,es  La Liga,26-296,1998.0,26.0,25.0,2283.0,25.4,,,,,,,,,,,0.0,,,,,88.0,94.0,90.0,24.0,1.0,34.0,0.0,1.04,25.0,36.0,-11.0,-0.43,0.18,20.2,40.4,-20.2,-0.8,-0.72,1.0,0.0,0.0,26.0,20.0,0.0,32.0,23.0,30.0,0.0,0.0,0.0,105.0,27.0,25.0,51.9,47.0,30.0,23.0,22.0,2.0,11.0,22.0,50.0,11.0,26.0,11.0,15.0,23.0,70.0,37.0,0.0,505.0,705.0,71.6,8376.0,2266.0,251.0,314.0,79.9,204.0,252.0,81.0,39.0,86.0,45.3,1.0,1.5,1.6,-0.5,12.0,63.0,11.0,4.0,68.0,0.0,1.0,0.0,0.0,1.0,1.0,2.6,42.0,67.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.1,0.04,0.1,39.0,1.54,29.0,1.0,2.0,2.0,3.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,705.0,674.0,25.0,10.0,6.0,6.0,32.0,2.0,2.0,0.0,2.0,0.0,505.0,6.0,22.0,17.0,2.0,11.8,0.67,0.08,0.0,0.0,16.1,0.0,0.06,-1.0,-1.0,970.0,58.0,221.0,548.0,217.0,41.0,970.0,48.0,24.0,50.0,20.0,41.7,516.0,3394.0,1604.0,27.0,7.0,43.0,25.0,580.0,337333,Central Midfield,1998-05-19,26,['Czech Republic'],186.0,right,2024-08-07,1.FC Union Berlin,2025-06-30,6000000.0,
86,Alex Scott,ENG,MF,Bournemouth,eng  Premier League,21-202,2003.0,12.0,2.0,380.0,4.2,,,,,,,,,,,0.0,,,,,32.0,15.1,62.0,0.0,10.0,26.0,0.0,1.25,5.0,5.0,0.0,0.0,-0.55,7.3,6.0,1.3,0.31,-0.2,1.0,0.0,0.0,6.0,16.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,32.0,4.0,6.0,40.0,20.0,9.0,9.0,6.0,5.0,14.0,25.0,56.0,11.0,9.0,1.0,8.0,8.0,28.0,6.0,0.0,164.0,194.0,84.5,2712.0,975.0,82.0,91.0,90.1,69.0,77.0,89.6,11.0,16.0,68.8,0.0,0.3,0.4,-0.3,7.0,31.0,4.0,0.0,42.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,17.0,4.02,14.0,0.0,0.0,0.0,1.0,2.0,2.0,0.47,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,186.0,6.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,164.0,2.0,4.0,5.0,2.0,40.0,1.18,0.47,0.0,0.0,19.6,0.0,0.05,-0.3,-0.3,276.0,13.0,56.0,152.0,71.0,8.0,276.0,21.0,5.0,23.8,10.0,47.6,154.0,835.0,380.0,3.0,1.0,9.0,5.0,164.0,855256,Central Midfield,2003-08-21,21,"['England', 'Guernsey']",178.0,right,2023-08-10,Bristol City,2028-06-30,20000000.0,
96,Alexis Mac Allister,ARG,MF,Liverpool,eng  Premier League,26-077,1998.0,28.0,25.0,2111.0,23.5,,,,,,,,,,,0.0,,,,,75.0,80.9,81.0,13.0,3.0,28.0,0.0,2.46,57.0,17.0,40.0,1.71,1.34,54.4,18.1,36.3,1.55,0.91,6.0,0.0,0.0,52.0,33.0,2.0,43.0,19.0,48.0,0.0,0.0,0.0,114.0,16.0,21.0,43.2,77.0,48.0,22.0,45.0,10.0,45.0,84.0,53.6,39.0,52.0,5.0,47.0,19.0,96.0,24.0,1.0,1045.0,1227.0,85.2,16644.0,4536.0,546.0,607.0,90.0,401.0,447.0,89.7,71.0,106.0,67.0,3.0,3.6,4.0,-0.6,33.0,102.0,32.0,1.0,146.0,3.0,6.0,3.0,0.0,2.3,2.3,5.9,30.0,61.0,0.13,0.13,0.26,0.13,0.26,0.1,0.15,0.25,0.1,0.25,97.0,4.14,74.0,12.0,2.0,5.0,1.0,3.0,12.0,0.51,10.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1227.0,1158.0,65.0,22.0,4.0,3.0,43.0,8.0,35.0,15.0,13.0,0.0,1045.0,4.0,26.0,29.0,9.0,31.0,1.24,0.38,0.1,0.33,17.5,0.0,0.08,0.7,0.7,1506.0,47.0,238.0,788.0,493.0,49.0,1506.0,36.0,13.0,36.1,19.0,52.8,751.0,3124.0,1634.0,36.0,3.0,22.0,19.0,1016.0,534033,Central Midfield,1998-12-24,26,"['Argentina', 'Italy']",176.0,right,2023-07-01,Brighton & Hove Albion,2028-06-30,80000000.0,
102,Alfred Duncan,GHA,MF,Venezia,it  Serie A,32-001,1993.0,13.0,11.0,867.0,9.6,,,,,,,,,,,0.0,,,,,67.0,34.4,77.0,6.0,2.0,12.0,1.0,0.54,7.0,18.0,-11.0,-1.14,-0.71,9.5,12.7,-3.2,-0.33,0.49,2.0,0.0,0.0,21.0,11.0,0.0,17.0,8.0,8.0,0.0,0.0,0.0,48.0,10.0,8.0,55.6,17.0,8.0,4.0,11.0,2.0,5.0,14.0,35.7,9.0,5.0,2.0,3.0,8.0,25.0,7.0,0.0,380.0,466.0,81.5,6353.0,1748.0,180.0,205.0,87.8,158.0,175.0,90.3,30.0,57.0,52.6,0.0,1.0,0.9,-1.0,9.0,34.0,17.0,4.0,44.0,0.0,0.0,0.0,0.0,0.8,0.8,1.7,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18,27.0,2.8,20.0,4.0,1.0,2.0,0.0,0.0,2.0,0.21,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,466.0,432.0,31.0,15.0,4.0,5.0,17.0,2.0,11.0,1.0,7.0,0.0,380.0,3.0,7.0,14.0,4.0,28.6,1.45,0.42,0.0,0.0,25.2,0.0,0.06,-0.8,-0.8,550.0,13.0,89.0,339.0,130.0,5.0,550.0,20.0,11.0,55.0,8.0,40.0,288.0,1338.0,610.0,14.0,0.0,14.0,11.0,354.0,184894,Central Midfield,1993-03-10,31,"['Ghana', 'Italy']",178.0,left,2024-07-26,ACF Fiorentina,2026-06-30,2500000.0,
116,Amadou Haidara,MLI,MF,RB Leipzig,de  Bundesliga,27-039,1998.0,21.0,14.0,1105.0,12.3,,,,,,,,,,,0.0,,,,,53.0,49.1,64.0,2.0,7.0,30.0,2.0,1.67,17.0,10.0,7.0,0.57,0.65,16.9,14.8,2.1,0.17,0.54,6.0,0.0,0.0,18.0,8.0,0.0,11.0,17.0,13.0,0.0,0.0,0.0,71.0,26.0,22.0,54.2,23.0,13.0,9.0,13.0,1.0,9.0,21.0,42.9,12.0,34.0,9.0,25.0,17.0,40.0,50.0,0.0,637.0,788.0,80.8,9930.0,2968.0,333.0,378.0,88.1,258.0,312.0,82.7,34.0,67.0,50.7,1.0,0.8,1.0,0.2,4.0,54.0,12.0,2.0,55.0,0.0,1.0,0.0,0.0,1.1,1.1,1.8,6.0,19.0,0.0,0.08,0.08,0.0,0.08,0.09,0.06,0.15,0.09,0.15,24.0,1.96,21.0,0.0,0.0,2.0,1.0,0.0,3.0,0.24,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,788.0,771.0,16.0,9.0,6.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,637.0,1.0,9.0,14.0,0.0,0.0,1.14,0.0,0.0,,18.2,0.0,0.08,-1.1,-1.1,952.0,53.0,225.0,608.0,124.0,11.0,952.0,10.0,7.0,70.0,3.0,30.0,454.0,1622.0,653.0,5.0,0.0,6.0,7.0,617.0,402008,Central Midfield,1998-01-31,27,['Mali'],178.0,right,2019-01-01,: Ablöse €19.00m,2026-06-30,20000000.0,
125,Amir Richardson,MAR,MF,Fiorentina,it  Serie A,23-046,2002.0,19.0,6.0,720.0,8.0,,,,,,,,,,,0.0,,,,,38.0,28.6,63.0,0.0,13.0,26.0,7.0,1.68,13.0,7.0,6.0,0.75,0.4,7.3,8.2,-0.9,-0.11,-0.41,5.0,0.0,0.0,24.0,11.0,0.0,2.0,4.0,10.0,0.0,0.0,0.0,30.0,15.0,15.0,50.0,22.0,10.0,11.0,9.0,2.0,8.0,18.0,44.4,10.0,10.0,1.0,9.0,4.0,26.0,25.0,1.0,348.0,401.0,86.8,5470.0,1219.0,164.0,176.0,93.2,158.0,178.0,88.8,15.0,21.0,71.4,0.0,0.2,0.3,-0.2,6.0,33.0,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,14.0,1.75,12.0,0.0,1.0,0.0,1.0,0.0,3.0,0.38,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,401.0,389.0,11.0,9.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,348.0,1.0,6.0,6.0,4.0,66.7,0.75,0.5,0.0,0.0,20.0,0.0,0.07,-0.4,-0.4,498.0,28.0,110.0,292.0,97.0,8.0,498.0,12.0,7.0,58.3,4.0,33.3,300.0,1451.0,661.0,8.0,0.0,11.0,8.0,336.0,893675,Central Midfield,2002-01-24,23,"['Morocco', 'France']",197.0,left,2024-08-12,Stade Reims,2029-06-30,9000000.0,
131,Ander Guevara,ESP,MF,Alavés,es  La Liga,27-247,1997.0,24.0,15.0,1424.0,15.8,,,,,,,,,,,0.0,,,,,59.0,58.6,78.0,6.0,9.0,29.0,3.0,0.92,19.0,21.0,-2.0,-0.13,0.59,17.8,17.9,-0.1,-0.01,0.28,1.0,0.0,0.0,25.0,15.0,0.0,3.0,8.0,23.0,0.0,0.0,0.0,83.0,21.0,28.0,42.9,37.0,23.0,15.0,21.0,1.0,18.0,40.0,45.0,22.0,18.0,5.0,13.0,8.0,45.0,32.0,1.0,566.0,733.0,77.2,10094.0,2934.0,234.0,281.0,83.3,269.0,326.0,82.5,52.0,82.0,63.4,1.0,0.5,0.4,0.5,8.0,76.0,6.0,0.0,84.0,0.0,1.0,0.0,0.0,0.4,0.4,0.9,11.0,13.0,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.06,0.03,0.06,28.0,1.77,26.0,1.0,1.0,0.0,0.0,0.0,5.0,0.32,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,733.0,696.0,29.0,19.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,566.0,8.0,11.0,7.0,1.0,14.3,0.44,0.06,0.0,0.0,21.7,0.0,0.06,-0.4,-0.4,892.0,47.0,203.0,563.0,131.0,9.0,892.0,13.0,7.0,53.8,5.0,38.5,383.0,1761.0,877.0,13.0,0.0,13.0,15.0,485.0,465967,Central Midfield,1997-07-07,27,['Spain'],180.0,right,2023-07-09,Real Sociedad,2027-06-30,5000000.0,
146,Andrey Santos,BRA,MF,Strasbourg,fr  Ligue 1,20-312,2004.0,23.0,23.0,2045.0,22.7,,,,,,,,,,,0.0,,,,,89.0,90.9,89.0,21.0,0.0,,0.0,1.65,38.0,30.0,8.0,0.35,0.79,34.4,38.7,-4.3,-0.19,-0.03,5.0,0.0,0.0,19.0,45.0,0.0,0.0,19.0,56.0,1.0,1.0,0.0,144.0,26.0,17.0,60.5,82.0,56.0,39.0,35.0,8.0,36.0,62.0,58.1,26.0,33.0,12.0,21.0,19.0,101.0,50.0,1.0,968.0,1105.0,87.6,16227.0,5585.0,436.0,484.0,90.1,467.0,514.0,90.9,57.0,69.0,82.6,1.0,2.7,1.5,-1.7,22.0,91.0,9.0,0.0,110.0,7.0,8.0,7.0,0.0,3.6,3.6,6.3,22.0,21.0,0.31,0.04,0.35,0.31,0.35,0.16,0.12,0.28,0.16,0.28,42.0,1.85,33.0,0.0,1.0,1.0,2.0,5.0,3.0,0.13,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1105.0,1051.0,49.0,48.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,968.0,5.0,19.0,30.0,11.0,36.7,1.32,0.48,0.23,0.64,17.0,0.0,0.12,3.4,3.4,1403.0,82.0,476.0,799.0,146.0,22.0,1403.0,31.0,14.0,45.2,12.0,38.7,705.0,2959.0,1722.0,10.0,2.0,33.0,9.0,853.0,743600,Central Midfield,2004-05-03,20,['Brazil'],180.0,right,2024-02-01,Chelsea FC,2025-06-30,25000000.0,
