Unnamed: 0,name,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Tkl,TklW_defense,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost_defense,Blocks,Sh,Pass,Int_defense,Tkl+Int,Clr,Err,Cmp,Att_passing,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Gls,G+A,G-PK,PK,xG,npxG,npxG+xAG,PrgC,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,SCA,SCA90,PassLive,PassDead,TO,Sh_gca,Fld_gca,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,GA_keepersadv,PKA_keepersadv,FK,CK,OG_keepersadv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_keepersadv,Att_keepersadv,Cmp%_keepersadv,Att (GK),Thr,Launch%,AvgLen,Att.1_keepersadv,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Att_passing_types,Live,Dead,FK_passing_types,TB,Sw,Crs_passing_types,TI,CK_passing_types,In,Out,Str,Cmp_passing_types,Off_passing_types,Blocks_passing_types,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,npxG/Sh,G-xG,np:G-xG,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,1/3_possession,CPA,Mis,Dis,Rec,id,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
5,Abde Ezzalzouli,MAR,"FW,MF",Betis,es  La Liga,23-084,2001.0,24.0,18.0,1552.0,17.2,,,,,,,,,,,1.0,,,,,65.0,63.9,77.0,2.0,6.0,26.0,1.0,1.33,19.0,22.0,-3.0,-0.17,-0.69,25.2,22.6,2.7,0.16,-0.28,2.0,0.0,0.0,18.0,31.0,3.0,41.0,5.0,21.0,1.0,0.0,0.0,83.0,19.0,29.0,39.6,31.0,21.0,13.0,15.0,3.0,11.0,20.0,55.0,9.0,17.0,3.0,14.0,5.0,36.0,11.0,0.0,425.0,606.0,70.1,5325.0,1594.0,293.0,364.0,80.5,107.0,155.0,69.0,9.0,29.0,31.0,1.0,1.7,1.6,-0.7,21.0,34.0,15.0,2.0,57.0,1.0,2.0,1.0,0.0,7.1,6.3,7.9,99.0,167.0,0.06,0.06,0.12,0.06,0.12,0.41,0.1,0.5,0.36,0.46,51.0,2.96,33.0,0.0,8.0,6.0,3.0,1.0,4.0,0.23,3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,606.0,585.0,19.0,3.0,2.0,3.0,41.0,15.0,1.0,0.0,0.0,0.0,425.0,2.0,24.0,48.0,17.0,35.4,2.78,0.99,0.02,0.06,15.9,1.0,0.13,-6.1,-5.3,862.0,8.0,90.0,328.0,472.0,122.0,861.0,89.0,42.0,47.2,33.0,37.1,562.0,4275.0,2533.0,63.0,45.0,50.0,42.0,637.0,724520,Left Winger,2001-12-17,23,"['Morocco', 'Spain']",177.0,right,2023-09-01,FC Barcelona,2029-06-30,15000000.0,
7,Abdenego Nankishi,GER,FW,Werder Bremen,de  Bundesliga,22-248,2002.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455662,Left Winger,2002-07-06,22,"['Germany', 'Angola']",178.0,left,2021-07-01,SV Werder Bremen II,2025-06-30,450000.0,
33,Adrian Benedyczak,POL,"FW,MF",Parma,it  Serie A,24-107,2000.0,8.0,2.0,197.0,2.2,,,,,,,,,,,0.0,,,,,25.0,7.8,45.0,0.0,6.0,18.0,2.0,1.25,4.0,6.0,-2.0,-0.91,-0.45,2.1,6.2,-4.1,-1.88,-1.5,0.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,8.0,0.0,32.0,49.0,65.3,521.0,112.0,17.0,26.0,65.4,9.0,14.0,64.3,3.0,5.0,60.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,3.0,1.36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,48.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,3.0,0.0,0.0,1.37,0.0,0.0,,18.4,0.0,0.08,-0.3,-0.3,74.0,7.0,16.0,33.0,25.0,4.0,74.0,1.0,0.0,0.0,1.0,100.0,40.0,167.0,80.0,2.0,0.0,5.0,3.0,55.0,454386,Left Winger,2000-11-24,24,['Poland'],191.0,both,2021-07-01,Pogon Szczecin,2028-06-30,6000000.0,"Ankle surgery - Return expected on May 31, 2025"
60,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,eng  Premier League,20-253,2004.0,27.0,16.0,1574.0,17.5,,,,,,,,,,,0.0,,,,,58.0,62.5,81.0,9.0,11.0,26.0,0.0,1.15,19.0,26.0,-7.0,-0.4,-0.5,25.1,28.0,-2.9,-0.17,0.06,1.0,0.0,0.0,7.0,31.0,6.0,34.0,10.0,13.0,0.0,0.0,0.0,85.0,2.0,18.0,10.0,20.0,13.0,9.0,4.0,7.0,6.0,20.0,30.0,14.0,16.0,0.0,16.0,10.0,30.0,10.0,2.0,445.0,562.0,79.2,6305.0,822.0,288.0,322.0,89.4,113.0,139.0,81.3,24.0,41.0,58.5,1.0,2.6,1.5,-1.6,22.0,16.0,15.0,3.0,36.0,3.0,4.0,3.0,0.0,5.6,5.6,8.2,95.0,207.0,0.17,0.06,0.23,0.17,0.23,0.32,0.15,0.47,0.32,0.47,52.0,2.97,38.0,1.0,3.0,6.0,4.0,0.0,4.0,0.23,2.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,562.0,546.0,15.0,3.0,1.0,8.0,34.0,11.0,1.0,1.0,0.0,0.0,445.0,1.0,33.0,59.0,22.0,37.3,3.37,1.26,0.05,0.14,16.5,0.0,0.1,-2.6,-2.6,805.0,11.0,100.0,261.0,457.0,123.0,805.0,61.0,17.0,27.9,39.0,63.9,571.0,4290.0,2127.0,47.0,49.0,43.0,36.0,604.0,811779,Left Winger,2004-07-01,20,"['Argentina', 'Spain']",180.0,right,2022-07-01,Manchester United U21,2028-06-30,50000000.0,
80,Alessio Zerbin,ITA,DF,Venezia,it  Serie A,26-008,1999.0,8.0,7.0,626.0,7.0,,,,,,,,,,,0.0,,,,,78.0,24.8,87.0,5.0,1.0,15.0,0.0,0.63,3.0,8.0,-5.0,-0.72,-0.05,5.1,9.9,-4.8,-0.7,-0.06,1.0,0.0,0.0,14.0,15.0,0.0,30.0,9.0,17.0,0.0,0.0,0.0,34.0,2.0,4.0,33.3,32.0,17.0,19.0,8.0,5.0,18.0,28.0,64.3,10.0,9.0,2.0,7.0,9.0,41.0,11.0,0.0,178.0,267.0,66.7,2955.0,1306.0,90.0,110.0,81.8,68.0,97.0,70.1,16.0,36.0,44.4,0.0,0.9,0.8,-0.9,11.0,15.0,8.0,4.0,26.0,1.0,1.0,1.0,0.0,1.1,1.1,2.0,26.0,26.0,0.14,0.0,0.14,0.14,0.14,0.15,0.13,0.29,0.15,0.29,20.0,2.88,9.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,195.0,70.0,13.0,0.0,1.0,30.0,46.0,11.0,4.0,4.0,0.0,178.0,2.0,9.0,9.0,3.0,33.3,1.29,0.43,0.11,0.33,15.0,0.0,0.12,-0.1,-0.1,385.0,15.0,88.0,145.0,159.0,23.0,385.0,29.0,9.0,31.0,18.0,62.1,180.0,1044.0,553.0,13.0,12.0,13.0,9.0,174.0,433584,Left Winger,1999-03-03,25,['Italy'],182.0,right,2025-01-18,SSC Napoli,2025-06-30,3500000.0,
81,Alex Iwobi,NGA,"FW,MF",Fulham,eng  Premier League,28-312,1996.0,28.0,27.0,2296.0,25.5,,,,,,,,,,,0.0,,,,,82.0,91.1,84.0,12.0,1.0,24.0,0.0,1.5,32.0,32.0,0.0,0.0,-1.21,31.7,27.4,4.3,0.17,-0.84,1.0,0.0,0.0,13.0,15.0,3.0,88.0,9.0,18.0,0.0,0.0,0.0,106.0,4.0,26.0,13.3,31.0,18.0,12.0,15.0,4.0,12.0,22.0,54.5,10.0,19.0,1.0,18.0,9.0,40.0,26.0,0.0,882.0,1174.0,75.1,15236.0,4530.0,448.0,516.0,86.8,335.0,433.0,77.4,84.0,147.0,57.1,4.0,5.7,5.4,-1.7,49.0,89.0,66.0,12.0,166.0,7.0,11.0,7.0,0.0,3.8,3.8,9.4,110.0,191.0,0.27,0.16,0.43,0.27,0.43,0.15,0.22,0.37,0.15,0.37,106.0,4.16,92.0,0.0,7.0,5.0,2.0,0.0,13.0,0.51,11.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1174.0,1139.0,30.0,6.0,12.0,18.0,88.0,19.0,2.0,0.0,1.0,0.0,882.0,5.0,38.0,52.0,22.0,42.3,2.04,0.86,0.13,0.32,18.3,0.0,0.07,3.2,3.2,1431.0,29.0,197.0,571.0,686.0,93.0,1431.0,74.0,38.0,51.4,33.0,44.6,1024.0,6125.0,3371.0,86.0,32.0,48.0,33.0,1126.0,242631,Left Winger,1996-05-03,28,"['Nigeria', 'England']",183.0,right,2023-09-01,Everton FC,2028-06-30,25000000.0,
106,Alieu Fadera,GAM,"FW,DF",Como,it  Serie A,23-128,2001.0,24.0,20.0,1592.0,17.7,,,,,,,,,,,0.0,,,,,66.0,63.2,77.0,6.0,4.0,15.0,1.0,1.04,24.0,24.0,0.0,0.0,0.97,21.0,17.9,3.1,0.18,0.34,2.0,1.0,0.0,38.0,47.0,14.0,39.0,10.0,45.0,0.0,0.0,0.0,92.0,11.0,14.0,44.0,60.0,45.0,24.0,24.0,12.0,20.0,44.0,45.5,24.0,17.0,1.0,16.0,10.0,70.0,9.0,0.0,428.0,572.0,74.8,6049.0,1609.0,243.0,274.0,88.7,137.0,188.0,72.9,22.0,40.0,55.0,3.0,3.9,1.9,-0.9,22.0,13.0,24.0,5.0,35.0,1.0,4.0,1.0,0.0,1.6,1.6,5.5,73.0,157.0,0.06,0.17,0.23,0.06,0.23,0.09,0.22,0.31,0.09,0.31,50.0,2.82,35.0,1.0,5.0,3.0,5.0,1.0,7.0,0.4,6.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,522.0,49.0,1.0,3.0,3.0,39.0,48.0,0.0,0.0,0.0,0.0,428.0,1.0,27.0,27.0,9.0,33.3,1.53,0.51,0.04,0.11,18.8,0.0,0.06,-0.6,-0.6,810.0,16.0,145.0,304.0,381.0,58.0,810.0,65.0,26.0,40.0,31.0,47.7,525.0,3776.0,2209.0,34.0,31.0,39.0,32.0,516.0,749552,Left Winger,2001-11-03,23,['The Gambia'],182.0,right,2024-08-14,KRC Genk,2028-06-30,5000000.0,
121,Amine Adli,MAR,"MF,FW",Leverkusen,de  Bundesliga,24-305,2000.0,11.0,4.0,403.0,4.5,,,,,,,,,,,0.0,,,,,37.0,17.9,69.0,1.0,7.0,18.0,1.0,1.91,8.0,8.0,0.0,0.0,-1.22,10.4,4.1,6.3,1.4,0.65,2.0,0.0,0.0,5.0,9.0,4.0,18.0,0.0,6.0,2.0,0.0,0.0,17.0,13.0,12.0,52.0,10.0,6.0,2.0,1.0,7.0,3.0,7.0,42.9,4.0,6.0,0.0,6.0,0.0,10.0,3.0,0.0,158.0,210.0,75.2,1922.0,372.0,104.0,122.0,85.2,38.0,50.0,76.0,4.0,11.0,36.4,0.0,0.2,1.2,-0.2,5.0,3.0,10.0,4.0,13.0,1.0,1.0,1.0,0.0,1.5,1.5,1.7,23.0,67.0,0.22,0.0,0.22,0.22,0.22,0.34,0.04,0.38,0.34,0.38,18.0,4.02,8.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,202.0,7.0,0.0,0.0,1.0,18.0,7.0,0.0,0.0,0.0,0.0,158.0,1.0,11.0,13.0,4.0,30.8,2.9,0.89,0.08,0.25,13.1,0.0,0.12,-0.5,-0.5,270.0,3.0,27.0,71.0,175.0,34.0,270.0,16.0,7.0,43.8,8.0,50.0,146.0,847.0,485.0,14.0,8.0,12.0,3.0,207.0,532776,Left Winger,2000-05-10,24,"['Morocco', 'France']",174.0,left,2021-08-26,FC Toulouse,2028-06-30,22000000.0,
130,Ander Barrenetxea,ESP,"MF,FW",Real Sociedad,es  La Liga,23-074,2001.0,22.0,9.0,905.0,10.1,,,,,,,,,,,0.0,,,,,41.0,37.2,59.0,0.0,13.0,29.0,2.0,1.23,10.0,14.0,-4.0,-0.4,-0.34,11.5,10.6,0.9,0.09,0.17,4.0,0.0,0.0,23.0,9.0,1.0,36.0,9.0,13.0,0.0,1.0,0.0,66.0,7.0,9.0,43.8,17.0,13.0,5.0,8.0,4.0,4.0,15.0,26.7,11.0,12.0,0.0,12.0,9.0,26.0,14.0,0.0,277.0,386.0,71.8,4668.0,1063.0,154.0,182.0,84.6,78.0,113.0,69.0,37.0,53.0,69.8,2.0,1.2,1.6,0.8,13.0,19.0,19.0,3.0,38.0,1.0,3.0,1.0,0.0,1.4,1.4,2.6,34.0,115.0,0.1,0.2,0.3,0.1,0.3,0.14,0.12,0.26,0.14,0.26,30.0,2.98,24.0,0.0,2.0,3.0,0.0,1.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,373.0,10.0,1.0,1.0,9.0,36.0,8.0,1.0,0.0,0.0,0.0,277.0,3.0,21.0,19.0,5.0,26.3,1.89,0.5,0.05,0.2,14.9,0.0,0.07,-0.4,-0.4,556.0,9.0,81.0,198.0,286.0,51.0,556.0,51.0,19.0,37.3,31.0,60.8,353.0,2263.0,949.0,19.0,16.0,38.0,20.0,393.0,616369,Left Winger,2001-12-27,23,['Spain'],175.0,right,2019-07-01,Real Sociedad B,2030-06-30,20000000.0,
156,Andu Kelati,GER,"MF,DF",Holstein Kiel,de  Bundesliga,22-210,2002.0,8.0,2.0,288.0,3.2,,,,,,,,,,,0.0,,,,,36.0,12.8,71.0,0.0,6.0,25.0,7.0,0.25,9.0,6.0,3.0,0.94,2.18,6.7,5.8,0.8,0.25,1.0,2.0,1.0,1.0,4.0,5.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,7.0,4.0,2.0,4.0,1.0,2.0,5.0,40.0,3.0,4.0,1.0,3.0,3.0,10.0,3.0,0.0,95.0,123.0,77.2,1834.0,544.0,40.0,49.0,81.6,41.0,47.0,87.2,14.0,21.0,66.7,1.0,0.8,0.3,0.2,4.0,12.0,3.0,2.0,19.0,1.0,2.0,1.0,0.0,0.9,0.9,1.7,3.0,11.0,0.31,0.31,0.62,0.31,0.62,0.27,0.26,0.53,0.27,0.53,9.0,2.81,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.31,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,122.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,6.0,3.0,50.0,1.87,0.94,0.17,0.33,13.3,0.0,0.14,0.1,0.1,159.0,4.0,30.0,90.0,43.0,9.0,159.0,4.0,3.0,75.0,1.0,25.0,88.0,310.0,129.0,0.0,0.0,8.0,4.0,106.0,719694,Left Winger,2002-08-13,22,"['Germany', 'Eritrea']",181.0,right,2024-07-01,TSG 1899 Hoffenheim II,2028-06-30,800000.0,
166,Ansu Fati,ESP,FW,Barcelona,es  La Liga,22-131,2002.0,4.0,1.0,127.0,1.4,,,,,,,,,,,0.0,,,,,32.0,5.2,75.0,0.0,3.0,17.0,9.0,2.25,3.0,0.0,3.0,2.13,0.45,3.7,1.0,2.6,1.86,0.59,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,53.0,63.0,84.1,607.0,86.0,40.0,42.0,95.2,10.0,13.0,76.9,1.0,3.0,33.3,0.0,0.1,0.2,-0.1,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.42,0.04,0.46,0.42,0.46,4.0,2.83,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,59.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,5.0,3.0,60.0,3.54,2.13,0.0,0.0,14.0,0.0,0.12,-0.6,-0.6,81.0,0.0,7.0,35.0,41.0,10.0,81.0,5.0,2.0,40.0,2.0,40.0,58.0,305.0,121.0,5.0,1.0,6.0,2.0,67.0,466810,Left Winger,2002-10-31,22,"['Spain', 'Guinea-Bissau']",178.0,right,2020-09-23,FC Barcelona B,2027-06-30,10000000.0,
168,Ante Rebić,CRO,"FW,MF",Lecce,it  Serie A,31-171,1993.0,22.0,6.0,595.0,6.6,,,,,,,,,,,0.0,,,,,27.0,23.6,58.0,0.0,16.0,15.0,3.0,0.82,5.0,10.0,-5.0,-0.76,0.23,8.1,9.3,-1.1,-0.17,0.66,3.0,1.0,0.0,15.0,10.0,5.0,29.0,1.0,7.0,0.0,0.0,0.0,27.0,19.0,21.0,47.5,9.0,7.0,5.0,2.0,2.0,2.0,7.0,28.6,5.0,4.0,1.0,3.0,1.0,10.0,3.0,0.0,147.0,236.0,62.3,2069.0,718.0,88.0,118.0,74.6,36.0,59.0,61.0,12.0,24.0,50.0,0.0,1.8,1.2,-1.8,16.0,13.0,11.0,3.0,28.0,1.0,1.0,1.0,0.0,1.6,1.6,3.5,13.0,53.0,0.15,0.0,0.15,0.15,0.15,0.24,0.28,0.52,0.24,0.52,26.0,3.93,15.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,217.0,18.0,0.0,2.0,0.0,29.0,2.0,8.0,5.0,3.0,0.0,147.0,1.0,20.0,10.0,2.0,20.0,1.51,0.3,0.1,0.5,13.7,0.0,0.16,-0.6,-0.6,326.0,4.0,35.0,130.0,165.0,32.0,326.0,22.0,8.0,36.4,11.0,50.0,164.0,911.0,375.0,7.0,5.0,33.0,12.0,244.0,187587,Left Winger,1993-09-21,31,['Croatia'],185.0,right,2024-08-26,Besiktas JK,2025-06-30,1500000.0,
172,Anthony Gordon,ENG,FW,Newcastle Utd,eng  Premier League,24-015,2001.0,26.0,25.0,2108.0,23.4,,,,,,,,,,,2.0,,,,,81.0,83.7,83.0,8.0,1.0,31.0,0.0,1.69,40.0,30.0,10.0,0.43,0.65,39.9,28.7,11.2,0.48,0.51,2.0,0.0,0.0,19.0,58.0,7.0,116.0,6.0,17.0,1.0,0.0,0.0,88.0,5.0,7.0,41.7,28.0,17.0,9.0,16.0,3.0,11.0,32.0,34.4,21.0,24.0,2.0,22.0,6.0,34.0,9.0,2.0,612.0,850.0,72.0,9404.0,3173.0,342.0,401.0,85.3,206.0,268.0,76.9,45.0,111.0,40.5,5.0,4.9,4.8,0.1,49.0,56.0,49.0,16.0,88.0,6.0,11.0,5.0,1.0,7.8,6.3,11.2,104.0,187.0,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48,96.0,4.1,69.0,10.0,7.0,3.0,7.0,0.0,12.0,0.51,9.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,735.0,107.0,21.0,9.0,4.0,116.0,30.0,50.0,33.0,7.0,0.0,612.0,8.0,32.0,52.0,15.0,28.8,2.22,0.64,0.1,0.33,16.2,1.0,0.12,-1.8,-1.3,1100.0,16.0,110.0,413.0,595.0,122.0,1098.0,93.0,35.0,37.6,42.0,45.2,710.0,5230.0,2813.0,52.0,54.0,28.0,34.0,787.0,503733,Left Winger,2001-02-24,23,['England'],183.0,right,2023-01-29,Everton FC,,60000000.0,
180,Antoine Joujou,FRA,"MF,FW",Le Havre,fr  Ligue 1,21-364,2003.0,19.0,8.0,814.0,9.0,,,,,,,,,,,0.0,,,,,43.0,36.2,72.0,2.0,11.0,21.0,2.0,0.63,10.0,17.0,-7.0,-0.77,0.48,11.9,14.8,-2.9,-0.32,0.53,1.0,0.0,0.0,6.0,6.0,2.0,30.0,8.0,10.0,0.0,0.0,0.0,47.0,3.0,16.0,15.8,12.0,10.0,7.0,4.0,1.0,7.0,11.0,63.6,4.0,14.0,3.0,11.0,8.0,20.0,17.0,0.0,134.0,214.0,62.6,1932.0,506.0,74.0,103.0,71.8,42.0,71.0,59.2,8.0,16.0,50.0,2.0,2.4,2.4,-0.4,13.0,6.0,10.0,6.0,15.0,0.0,2.0,0.0,0.0,0.6,0.6,3.0,39.0,76.0,0.0,0.22,0.22,0.0,0.22,0.07,0.26,0.33,0.07,0.33,30.0,3.32,17.0,0.0,6.0,4.0,2.0,1.0,3.0,0.33,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,212.0,2.0,0.0,1.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,134.0,0.0,12.0,11.0,2.0,18.2,1.22,0.22,0.0,0.0,18.4,0.0,0.06,-0.6,-0.6,352.0,14.0,65.0,117.0,182.0,38.0,352.0,53.0,26.0,49.1,26.0,49.1,205.0,1761.0,890.0,20.0,17.0,30.0,14.0,213.0,1028162,Left Winger,2003-03-12,21,"['France', 'Guadeloupe']",189.0,,2024-08-29,Parma Calcio 1913,2025-06-30,2500000.0,
190,Antonio Nusa,NOR,"MF,DF",RB Leipzig,de  Bundesliga,19-328,2005.0,21.0,15.0,1440.0,16.0,,,,,,,,,,,0.0,,,,,69.0,64.0,84.0,10.0,6.0,31.0,0.0,1.71,32.0,25.0,7.0,0.44,0.55,22.6,26.6,-4.0,-0.25,-0.42,0.0,0.0,0.0,14.0,27.0,8.0,33.0,8.0,17.0,0.0,1.0,0.0,74.0,5.0,11.0,31.3,30.0,17.0,16.0,9.0,5.0,18.0,36.0,50.0,18.0,20.0,2.0,18.0,8.0,38.0,11.0,0.0,383.0,520.0,73.7,5439.0,1769.0,224.0,272.0,82.4,132.0,167.0,79.0,14.0,43.0,32.6,3.0,2.6,2.4,0.4,18.0,29.0,18.0,6.0,46.0,3.0,6.0,3.0,0.0,1.6,1.6,4.2,51.0,111.0,0.19,0.19,0.37,0.19,0.37,0.1,0.16,0.26,0.1,0.26,36.0,2.25,25.0,0.0,7.0,0.0,4.0,0.0,5.0,0.31,4.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,489.0,27.0,10.0,7.0,1.0,33.0,17.0,0.0,0.0,0.0,0.0,383.0,4.0,16.0,22.0,6.0,27.3,1.37,0.37,0.14,0.5,19.0,0.0,0.07,1.4,1.4,744.0,19.0,134.0,295.0,327.0,48.0,744.0,82.0,37.0,45.1,37.0,45.1,438.0,2861.0,1487.0,34.0,24.0,35.0,28.0,509.0,894914,Left Winger,2005-04-17,19,"['Norway', 'Nigeria']",183.0,right,2024-08-13,Club Brugge KV,2029-06-30,28000000.0,Knee injury - Return unknown
203,Aristide Zossou,CIV,MF,Auxerre,fr  Ligue 1,19-270,2005.0,3.0,0.0,16.0,0.2,,,,,,,,,,,0.0,,,,,5.0,0.7,,0.0,3.0,5.0,4.0,0.0,0.0,2.0,-2.0,-11.25,-11.25,0.4,1.9,-1.5,-8.55,-8.18,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,88.9,230.0,35.0,7.0,7.0,100.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,21.0,0.0,1.0,8.0,12.0,0.0,21.0,1.0,0.0,0.0,1.0,100.0,14.0,92.0,29.0,2.0,0.0,0.0,1.0,17.0,1310513,Left Winger,2005-06-14,19,"[""Cote d'Ivoire"", 'Benin']",178.0,right,,,2029-06-30,,
